As	như tt
At	tại dt
Aunt 	cô  dt
Area 	khu vực, địa điểm
Auto 	tự động
Alow 	ôi chao
About	khoảng
After 	sau đó
Among	ở giữa
Along	dọc theo
Alone	một mình, cô đơn
Adult 	trưởng thành
Apple 	quả táo
Angry 	tức giận
Admit	thừa nhận
Actor	diễn viên
Angel	thiên thần
Around	xung quanh
Action	hành động
Always	luôn luôn
Amount	số tiền
Appear	xuất hiện
Advice	lời khuyên
Author	tác giả
Acting	diễn xuất
But	nhưng
Big	lớn
Buy	mua
Bad	tệ
Box	hộp
Bar	quán bar
Bed	giường ngủ
Bee	con ong
Back	trở lại
Book	cuốn sách, đặt phòng
Bill	hóa đơn
Blue	màu xanh
Best	tốt nhất
Beer	bia
Bird	con chim
Boat	thuyền
Busy	bận
Board	bảng
Began	bắt đầu
Director	giám đốc
Decision	phán quyết
Division	phân công
District	huyện, miền, khu vực
Detailed	chi tiết, bày tỏ
Directly	trực tiếp
Domestic	quốc nội
Delivery	vận chuyển
Document	tài liệu
Daughter	con gái
Describe	diễn tả
End	kết thúc
Eat 	ăn uống
Each	mỗi
Easy	dễ dàng
Exit	lối thoát
Exam	ví dụ
Every	mỗi
Early	sớm
Eight	số tám
Enjoy	thích thú
Event	sự kiện
Earth	trái đất
Eagle	đại bàng
Either	hoặc
Enough	đủ
Effect	ảnh hưởng
Ensure	đảm bảo
Energy	năng lượng
Expect	chờ đợi
Easily	dễ dàng
Except	ngoại trừ
Enable	kích hoạt
Estate	động sản
Entire	toàn bộ
Effort	cố gắng
Economic	kinh tế
Exchange	trao đổi
Evidence	chứng cớ
Exercise	luyện tập, thực hành
Earnings	thu nhập
Estimate	ước tính, lượng giá
Exposure	sự phơi nhiễm, sự gian xảo
Everyday	mỗi ngày
Enormous	to lớn, khổng lồ
Engineer	kỹ sư
Education	giáo dục
Executive	điều hành
Excellent	xuất sắc
Extensive	sâu rộng, hiểu biết rộng
Effective	có hiệu lực
Expertise	chuyên môn
Expansion	sự bành trướng
Establish	thành lập
Efficient	có hiệu quả
Emergency	trường hợp khẩn cấp
Existence	sự tồn tại
Evolution	sự phát triển
Emotional	đa cảm
Economics	kinh tế học
Everybody	mọi người
Exception	ngoại lệ
Excessive	quá đáng
Explosion	vụ nổ
Exclusion	loại trừ
Fee	phí
Fox	con cáo
Fun	thú vị
Fly	bay
From	từ
Four	số bốn
Find	tìm
Face	mặt
Food	thức ăn
Free	miễn phí
Fact	trường hợp, thực tế
Fish	con cá
First	thứ nhất, đầu tiên
Found	tìm ra
Field	cách đồng
Force	lưc lượng
Front	trước mặt
Focus	tiêu điểm
Floor	sàn nhà
Fight	đánh nhau
Fixed	cố định
Future	tương lai
Family	gia đình
Father	bố
Friend	bạn
Further	thêm nữa
Forward	hiển nhiên, ở đằng trước
Foreign	ngoại quốc
Finance	tài chính
Feature	đặc tính
Federal	liên bang
Function	chức năng
Facility	cơ sở
Friendly	thân thiện
Familiar	quen biết
Firewall	tường lửa
Forecast	dự báo
Floating	nổi, nổi trên mặt nước
Feedback	phản hồi
Festival	lễ hội
Fraction	phân số
Financial	tài chính
Following	theo dõi
Framework	khuôn khổ
Furniture	đồ đạc
Frequency	tần số
Formation	sự hình thành
Forgotten	bị lãng quên
Franchise	chuỗi
Fortunate	may mắn
Freelance	nghề tự do
Good	tốt
Give	tặng, đưa
Game	trò chơi
Goal	mục tiêu, bàn thắng
Gain	thu được
Grow	lớn lên
Gold	vàng
Girl	cô gái
Gene	gia hệ
Grid	lưới
Gray	màu xám
Gate	cổng
Group	nhóm
Great	tuyệt
Green	màu xanh
Glass	cốc thủy tinh
Grown	tăng
Grade	cấp
Grape	nho
Growth	sự phát triển
Guidance	hướng dẫn
Generate	tạo ra
Graphics	đồ họa
Governor	thống đốc
Grateful	tri ân
Guardian	người giám hộ
Generous	hào phóng
Goodwill	thiện chí
Genomics	bộ gen
Goodness	nhân hậu
Greeting	lời chào
Grouping	phân nhóm
Geometry	hình học
Generally	nói chung là
Guarantee	bảo hành
Gathering	thu nhập
Geography	môn địa lý
Gentleman	quý ông, quý phái
Generator	máy phát điện
Gratitude	lòng biết ơn
Geometric	hình học
Glamorous	hào nhoáng
Goldsmith	thợ kim hoàn
Guerrilla	du kích
