English		Tiếng Việt
As	như
At	tại
Aunt 	cô
Area 	khu vực, địa điểm
Auto 	tự động
Alow 	ôi chao
About 	khoảng
After 	sau đó
Among 	ở giữa
Along 	dọc theo
Alone 	một mình, cô đơn
Adult 	trưởng thành
Apple 	quả táo
Angry 	tức giận
Admit	thừa nhận
Actor	diễn viên
Angel	thiên thần
Around	xung quanh
Action	hành động
Always	luôn luôn
Amount	số tiền
Appear	xuất hiện
Advice	lời khuyên
Author	tác giả
Acting	diễn xuất
Another	khác
Against	chống lại
Already	đã sẵn sàng
Ability có khả năng
Average trung bình cộng
Account tài khoản
Article	bài báo
Achieve	đạt được
Assumed	giả định
Accounting	kế toán
Assessment	thẩm định
Acceptance	chấp thuận
Assistance	hỗ trợ
Attractive	hấp dẫn
Appearance	xuất hiện
Affordable	giá cả phải chăng
Adaptation	sự thích nghi
Ammunition	đạn dược
Although	mặc dù
Approach	tiếp cận
Actually	thực ra
Anything	bất cứ điều gì
Activity	hoạt động
Addition	thêm vào
Achieved	đã đạt được
Accepted	chấp thuận
Acquired	mua
Another	khác
Against	chống lại
Already	đã sẵn sàng
Ability	có khả năng
Average trung bình cộng
Account tài khoản
Article	bài báo
Achieve	đạt được
Assumed	giả định
Around	xung quanh
Action	hành động
Always	luôn luôn
Amount	số tiền
Appear	xuất hiện
Advice	lời khuyên
Author	tác giả
Acting	diễn xuất
But	nhưng
Big	lớn
Buy	mua
Bad	tệ
Box	hộp
Bar	quán bar
Bed	giường ngủ
Bee	con ong
Back	trở lại
Book	cuốn sách, đặt phòng
Bill	hóa đơn
Blue	màu xanh
Best	tốt nhất
Beer	bia
Bird	con chim
Boat	thuyền
Busy	bận
Board	bảng
Began	bắt đầu
Built	xây dựng
Basic	cơ bản
Bring	mang
Black	màu đen
Blood	máu
Before	trước đây
Better	tốt hơn
Become	trở nên
Became	trở thành
Behind	phía sau
Budget	ngân sách
Bridge	cây cầu
Between	giữa, khoảng cách
Because	bởi vì
Believe tin tưởng
Benefit lợi ích
Brought	mang lại
Billion	tỷ
Balance	cân bằng
Banking	ngân hàng
Besides	ngoài ra
Can	có thể
Car	xe ô tô
Cut	cắt
Cry	khóc
Come	đến
Cost	phí
Case	trường hợp, tình huống, thực tế
City	thành phố
Call	gọi
Care	quan tâm
Cash	tiền mặt 
Card	thẻ
Cook	nấu
Calm	điềm tĩnh
Could	có thể 
Chief	lãnh tụ, trưởng
Cause	nguyên nhân, nguyên do
Class	lớp học
Close	đóng
Court	sân nhà, chỗ ở
Clear	trong sáng, khoảng trống
Child	đứa trẻ
Carry	mang
Cover	che đậy, bao phủ 
Check	kiểm tra
Coast	bờ biển
Chain	chuỗi
Clean	sạch sẽ, rõ ràng
Catch	nắm lấy, bắt lấy
Change	thay đổi
Common	chung
Course	khóa học
Create	tạo nên
Coming	đang đến
Choice	lựa chọn
Credit	tín dụng
Client	khách hàng
Chance	cơ hội
Charge	sạc điện, phí
Control	kiểm soát
Company	công ty
Certain chắc chắn
Contact	liên lạc, liên hệ
Country thành phố
Current hiện hành
Central trung tâm
Council	hội đồng
College	trường đại học
Complex	phức tạp
Century	thế kỷ
Date	ngày
Door	cửa sổ
Drug	thuốc
Desk	bàn 
Deep	sâu
Draw	vẽ tranh
Duck	con vịt
Damn	chỉ trích
Daily	hàng ngày
Dream	giấc mơ
Depth	độ sâu
Doubt	nghi ngờ
Dance	nhảy
Dress	trang phục
Drill	máy khoan
Debut	ra mắt
Dairy	sản phẩm bơ sữa
Depot	kho chứa
Devil	ác quỷ
Demand	nhu cầu
Doctor	bác sĩ
Dinner	bữa tối
Danger	nguy hiểm
Detect	phát hiện
Desert	sa mạc
Decent	hợp lệ
Dragon	con rồng 
Decree	nghị định
Donate	quyên góp, tặng
Delete	xóa
Discuss	bàn luận
Disease	bệnh
Despite bất chấp, khinh rẻ
Decided quyết định
Driving	điều khiển
Display trưng bày
Drawing	sức lôi cuốn, hấp dẫn
Deposit đặt cọc
Diamond	kim cương
Defense phòng thủ
Divorce	ly hôn
Director	giám đốc
Decision	phán quyết
Division	phân công
District	huyện, miền, khu vực
Detailed	chi tiết, bày tỏ
Directly	trực tiếp
Domestic	quốc nội
Delivery	vận chuyển
Document	tài liệu
Daughter	con gái
Describe	diễn tả	
End	kết thúc
Eat 	ăn uống
Each	mỗi
Easy	dễ dàng
Exit	lối thoát
Exam	ví dụ
Every	mỗi
Early	sớm
Eight	số tám
Enjoy	thích thú
Event	sự kiện
Earth	trái đất
Eagle	đại bàng
Either	hoặc
Enough	đủ 
Effect	ảnh hưởng 
Ensure	đảm bảo 
Energy	năng lượng
Expect	chờ đợi
Easily	dễ dàng
Except	ngoại trừ
Enable	kích hoạt
Estate	động sản
Entire	toàn bộ
Effort	cố gắng
Equity	công bằng
Engine	động cơ
Extent	mức độ
Example	ví dụ
Eastern	phía Đông
Exactly	chính xác
Expense chi phí
Explain giải thích
Excited bị kích thích
Element thành phần
Edition sự xuất bản, phiên bản
Exhibit vật trưng bày, triển lãm
Endless	mãi mãi
Embassy đại sứ quán
Evident hiển nhiên
Economic	kinh tế
Exchange	trao đổi
Evidence	chứng cớ
Exercise	luyện tập, thực hành
Earnings	thu nhập
Estimate	ước tính, lượng giá
Exposure	sự phơi nhiễm, sự gian xảo
Everyday	mỗi ngày
Enormous	to lớn, khổng lồ
Engineer	kỹ sư
Education	giáo dục
Executive	điều hành
Excellent	xuất sắc
Extensive	sâu rộng, hiểu biết rộng
Effective	có hiệu lực
Expertise	chuyên môn
Expansion	sự bành trướng
Establish	thành lập
Efficient	có hiệu quả
Emergency	trường hợp khẩn cấp
Existence	sự tồn tại
Evolution	sự phát triển
Emotional	đa cảm
Economics	kinh tế học
